Gene_name,Protein_interaction_score,Genetic_interaction_score,Single_cell_score,Cluster_score,Motif_score,Publication_score,Protein_atlas_score,Total_score,Norm_total_score,Weighted_total_scores,Seq
DNAAF3,0,0,0.355626078946405,0.479357798165138,0.0656983039880169,0.578120231919439,0,15.5168587103792,2.48848189638587,1.478802413019,121
NPHP1,0.0672931931189951,0.0611620795107034,0.589449541284404,0.0239678899082569,0,0.722797619214262,0,9.64802992859009,2.55050738005935,1.46467032303662,122
CFAP54,-0.00613621974228675,0,0.236085180735448,0.479357798165138,0,0.429906941065474,0.321100917431193,14.4186494962262,2.83796503855122,1.46031461765497,123
RSPH1,0.00338496947278647,0,0.355626078946405,0.0239678899082569,0,0.75550472713631,0.321100917431193,7.79453292065528,2.44003215087738,1.45958458289495,124
CFAP69,0.0225203701747264,0,0.355626078946405,0.479357798165138,0,0.600808946423922,0,15.7633865888132,2.25407765187775,1.45831319371019,125
ZMYND10,0.0118473931547527,0,0.355626078946405,0.479357798165138,0,0.607291436282346,0,15.4384822435037,2.24726373145743,1.45412270654864,126
SPATA7,0.186642009084103,0,0.236085180735448,0.239678899082569,0,0.469685856105803,0.321100917431193,16.4157388824946,2.62349645160338,1.45319286243912,127
CCDC181,0.0024045532523527,0,0.355626078946405,0.239678899082569,0,0.531858827020686,0.321100917431193,10.5192265030933,2.65717524896402,1.45066927573321,128
SPATA18,0.0947791452380212,0,0.355626078946405,0.239678899082569,0,0.429906941065474,0.321100917431193,12.9744149652162,2.66867029773643,1.44109198176366,129
CEP164,0.105656687588773,0,0.236085180735448,0.479357798165138,0.0338779250570762,0.497973084578925,0.0802752293577982,18.4100718477688,2.44785510527561,1.43322590548316,130
TPPP3,0.0240385899708927,0,0.245410780147085,0.479357798165138,0.0656983039880169,0.457899510908668,0.160550458715596,15.8351545611728,2.70746525197354,1.4329554418954,131
IFT27,0.34827089497498,0,0.236085180735448,0.0239678899082569,0,0.821802918870191,0,19.3409685775526,1.74301446878451,1.43012688448888,132
PROM1,0.0310186293506251,0,0.355626078946405,0.0958715596330275,0,0.616131195180197,0.321100917431193,9.18153200719565,2.48071687340701,1.41974838054145,133
