Gene_name_A	Gene_name_B	type
TRMT61A	ALKBH4	Wormbase
TUBA1C	ALKBH4	Wormbase
TUBB	ALKBH4	Wormbase
TUBG1	ALKBH4	Wormbase
UBE2K	ALKBH4	Wormbase
UCHL5	ALKBH4	Wormbase
VCP	ALKBH4	Wormbase
WDR18	ALKBH4	Wormbase
YWHAZ	ALKBH4	Wormbase
DBP	ALX1	Wormbase
DMRT2	ALX1	Wormbase
DMRTC2	ALX1	Wormbase
EYA2	ALX1	Wormbase
FMNL2	ALX1	Wormbase
GLI2	ALX1	Wormbase
HIF1A	ALX1	Wormbase
HNF4A	ALX1	Wormbase
LHX5	ALX1	Wormbase
MEIS1	ALX1	Wormbase
ZBTB40	ALX1	Wormbase
ZNF208	ALX1	Wormbase
ZNF227	ALX1	Wormbase
ZNF236	ALX1	Wormbase
ZNF714	ALX1	Wormbase
GNPDA1	AMDHD2	Wormbase
KATNB1	ANAPC1	Wormbase
ANAPC2	ANAPC11	Wormbase
COPS5	ANAPC11	Wormbase
FBLN1	ANAPC11	Wormbase
PFDN5	ANAPC11	Wormbase
SRPK3	ANAPC11	Wormbase
TPM1	ANAPC11	Wormbase
TTN	ANAPC11	Wormbase
UGDH	ANAPC11	Wormbase
ANAPC11	ANAPC2	Wormbase
CDX2	ANAPC2	Wormbase
BANF1	ANKLE2	Wormbase
ATP5PO	ANLN	Wormbase
CAPZA1	ANLN	Wormbase
COPB1	ANLN	Wormbase
DDX39B	ANLN	Wormbase
DYNLL2	ANLN	Wormbase
EEF1G	ANLN	Wormbase
EFTUD2	ANLN	Wormbase
NOP56	ANLN	Wormbase
RAB6A	ANLN	Wormbase
RAB8B	ANLN	Wormbase
RAC1	ANLN	Wormbase
RAN	ANLN	Wormbase
RMDN1	ANLN	Wormbase
RPL10	ANLN	Wormbase
RPL11	ANLN	Wormbase
RPL14	ANLN	Wormbase
RPL21	ANLN	Wormbase
RPL22	ANLN	Wormbase
RPL30	ANLN	Wormbase
RPS14	ANLN	Wormbase
RPS26	ANLN	Wormbase
RPS7	ANLN	Wormbase
SCFD1	ANLN	Wormbase
SNRPD2	ANLN	Wormbase
SNRPE	ANLN	Wormbase
STK25	ANLN	Wormbase
U2AF1	ANLN	Wormbase
GPC6	ANOS1	Wormbase
SDC1	ANOS1	Wormbase
LGALS4	ANXA13	Wormbase
LMNA	ANXA5	Wormbase
DAB1	AP1G1	Wormbase
KCNB1	AP1M1	Wormbase
AP2M1	AP2A2	Wormbase
AP2S1	AP2A2	Wormbase
DAB1	AP2A2	Wormbase
DENND1A	AP2A2	Wormbase
GAPVD1	AP2A2	Wormbase
AP2B1	AP2M1	Wormbase
APAF1	APAF1	Wormbase
BCL2L2	APAF1	Wormbase
CASP3	APAF1	Wormbase
SLC25A5	APAF1	Wormbase
LIN7B	APBA1	Wormbase
RAB6A	APBA1	Wormbase
APLP1	APBB2	Wormbase
JUP	APC	Wormbase
CTSB	APEX1	Wormbase
RMDN1	APEX1	Wormbase
PSENEN	APH1A	Wormbase
AGO3	AQR	Wormbase
AGO4	AQR	Wormbase
KLHL8	ARF1	Wormbase
PSD3	ARF6	Wormbase
KLC1	ARHGAP1	Wormbase
ARAP3	ARHGAP26	Wormbase
EPS15L1	ARHGAP26	Wormbase
FIGNL1	ARHGAP26	Wormbase
FOXJ3	ARHGAP26	Wormbase
HNF4G	ARHGAP26	Wormbase
LMNA	ARHGAP26	Wormbase
MYO16	ARHGAP26	Wormbase
PAX6	ARHGAP26	Wormbase
R3HCC1L	ARHGAP26	Wormbase
TSSK3	ARHGAP26	Wormbase
ZNF236	ARHGAP26	Wormbase
CDC42	ARHGAP29	Wormbase
RHOA	ARHGAP29	Wormbase
OTX1	ARHGAP32	Wormbase
VAPA	ARHGAP32	Wormbase
RHOA	ARHGDIB	Wormbase
GNA12	ARHGEF12	Wormbase
ARL3	ARL13B	Wormbase
UBE2I	ARL13B	Wormbase
UNC119B	ARL13B	Wormbase
SETDB1	ARL14EPL	Wormbase
BORCS5	ARL8B	Wormbase
KIF1A	ARL8B	Wormbase
VPS41	ARL8B	Wormbase
AHR	ARNT2	Wormbase
ARNT2	ARNT2	Wormbase
HIF1A	ARNT2	Wormbase
NPAS4	ARNT2	Wormbase
ACADSB	ARRDC2	Wormbase
ADAMTS6	ARRDC2	Wormbase
ARRDC2	ARRDC2	Wormbase
CCDC85A	ARRDC2	Wormbase
DNM1L	ARRDC2	Wormbase
EPN1	ARRDC2	Wormbase
HMCN1	ARRDC2	Wormbase
KLHL8	ARRDC2	Wormbase
PLSCR1	ARRDC2	Wormbase
SMARCC2	ARRDC2	Wormbase
TYR	ARRDC2	Wormbase
UBQLN1	ARRDC2	Wormbase
WWP2	ARRDC2	Wormbase
ZMYND11	ARRDC2	Wormbase
VPS39	ASAH1	Wormbase
ACADSB	ASCC1	Wormbase
ADAMTS6	ASCC1	Wormbase
CCDC85A	ASCC1	Wormbase
HMCN1	ASCC1	Wormbase
PLSCR1	ASCC1	Wormbase
TFPI	ASCC1	Wormbase
MEIS1	ASCL1	Wormbase
TFAP2C	ASCL1	Wormbase
ZBTB40	ASCL1	Wormbase
ZNF236	ASCL1	Wormbase
TBX19	ASH1L	Wormbase
DPY30	ASH2L	Wormbase
ACTB	ASPM	Wormbase
ACTN2	ASPM	Wormbase
CALM3	ASPM	Wormbase
CEP97	ASPM	Wormbase
TPM1	ASPM	Wormbase
TUBA1C	ATAT1	Wormbase
EYA2	ATF2	Wormbase
JUNB	ATF2	Wormbase
ARNT2	ATF5	Wormbase
CEBPG	ATF5	Wormbase
DBP	ATF5	Wormbase
HNF4A	ATF5	Wormbase
NR2C2	ATF5	Wormbase
ZNF208	ATF5	Wormbase
ATF6	ATF6	Wormbase
ATG13	ATG101	Wormbase
ULK2	ATG101	Wormbase
MAP1LC3A	ATG12	Wormbase
ATG101	ATG13	Wormbase
MAP1LC3A	ATG16L1	Wormbase
HMX3	ATG4A	Wormbase
GABARAP	ATG4D	Wormbase
MAP1LC3A	ATG5	Wormbase
ZNF208	ATOH1	Wormbase
HDLBP	ATP1B1	Wormbase
HDLBP	ATP1B2	Wormbase
EIF2B1	ATP2A2	Wormbase
ATP5F1B	ATP5F1A	Wormbase
DNA2	ATP5F1A	Wormbase
AQP3	ATP5F1B	Wormbase
ATP5F1C	ATP5F1B	Wormbase
BMPER	ATP5F1B	Wormbase
CTSA	ATP5F1B	Wormbase
ECHDC3	ATP5F1B	Wormbase
FCGBP	ATP5F1B	Wormbase
FMC1	ATP5F1B	Wormbase
KLHL8	ATP5F1B	Wormbase
NCLN	ATP5F1B	Wormbase
OTX1	ATP5F1B	Wormbase
RPSA	ATP5F1B	Wormbase
RUVBL1	ATP5F1B	Wormbase
VPS39	ATP5F1B	Wormbase
CKAP5	ATP5F1D	Wormbase
MRPS31	ATP5MG	Wormbase
