Gene_name	Gene_synonyms
ABCD1	ABC42
ABCD1	ALD
ABCD1	ALDP
ABCD1	AMN
ALDH1A1	ALDC
ALDH1A1	ALDH-E1
ALDH1A1	ALDH1
ALDH1A1	ALDH11
ALDH1A1	HEL-9
ALDH1A1	HEL-S-53e
ALDH1A1	HEL12
ALDH1A1	PUMB1
ALDH1A1	RALDH1
ALDH2	ALDH-E2
ALDH2	ALDHI
ALDH2	ALDM
ALDH3A1	ALDH3
ALDH3A1	ALDHIII
ALDH1B1	ALDH5
ALDH1B1	ALDHX
ALDH1A3	ALDH1A6
ALDH1A3	ALDH6
ALDH1A3	MCOP8
ALDH1A3	RALDH3
ALDH3B1	ALDH4
ALDH3B1	ALDH7
ALDH3B2	ALDH8
ALDH9A1	ALDH4
ALDH9A1	ALDH7
ALDH9A1	ALDH9
ALDH9A1	E3
ALDH9A1	TMABA-DH
ALDH9A1	TMABADH
ALDH9A1	TMABALDH
ALDH3A2	ALDH10
ALDH3A2	FALDH
ALDH3A2	SLS
ABCD2	ABC39
ABCD2	ALDL1
ABCD2	ALDR
ABCD2	ALDRP
ABCD2	hALDR
ALDOA	ALDA
ALDOA	GSD12
ALDOA	HEL-S-87p
ALDOAP2	-
ALDOB	ALDB
ALDOB	ALDO2
ALDOC	ALDC
AKR1B1	ADR
AKR1B1	ALDR1
AKR1B1	ALR2
AKR1B1	AR
AKR1B1P2	ALDRP
ALK	CD246
ALK	NBLST3
ALOX12	12-LOX
ALOX12	12S-LOX
ALOX12	LOG12
ALOX5	5-LO
ALOX5	5-LOX
ALOX5	5LPG
ALOX5	LOG5
ALOX5AP	FLAP
ALOX12B	12R-LOX
ALOX12B	ARCI2
ALOX12P1	ALOX12P
ALOX12P2	ALOX12E
ALOX15	12-LOX
ALOX15	15-LOX
ALOX15	15-LOX-1
ALOX15	LOG15
ALOX15B	15-LOX-2
ALPI	IAP
ALPL	AP-TNAP
ALPL	APTNAP
ALPL	HOPS
ALPL	TNALP
ALPL	TNAP
ALPL	TNSALP
ALPP	ALP
ALPP	ALPI
ALPP	IAP
ALPP	PALP
ALPP	PLAP
ALPP	PLAP-1
ALPG	ALPPL
ALPG	ALPPL2
ALPG	GCAP
ALS3	ALS6
ALX3	FND
ALX3	FND1
AMBN	AI1F
AMBP	A1M
AMBP	EDC1
AMBP	HCP
AMBP	HI30
AMBP	IATIL
AMBP	ITI
AMBP	ITIL
AMBP	ITILC
AMBP	UTI
AMCN	AMC
AMCN	AMC1
AMCN	AMCN1
AMD1	ADOMETDC
AMD1	AMD
AMD1	SAMDC
AMD1P2	AMD
AMD1P2	AMD2
AMD1P2	AMDP1
AMD1P2	AMDPX
AMD1P2	AMDPY
AMELX	AI1E
AMELX	AIH1
AMELX	ALGN
AMELX	AMG
AMELX	AMGL
AMELX	AMGX
AMELY	AMGL
AMELY	AMGY
AMFR	GP78
AMFR	RNF45
AMH	MIF
AMH	MIS
AMHR2	AMHR
AMHR2	MISR2
AMHR2	MISRII
AMHR2	MRII
AMPD1	MAD
AMPD1	MADA
AMPD1	MMDD
AMPD2	PCH9
AMPD2	SPG63
AMPD3	-
AMPH	AMPH1
BIN1	AMPH2
BIN1	AMPHL
BIN1	CNM2
BIN1	SH3P9
AMT	GCE
AMT	GCST
AMT	GCVT
AMT	NKH
AMY1A	AMY1
AMY1B	AMY1
AMY1C	AMY1
AMY2A	AMY2
AMY2A	PA
AMY2B	AMY2
AMY2B	AMY3
AMY2B	HXA
AMYP1	AMY2P
ANCR	-
ANG	ALS9
ANG	HEL168
ANG	RAA1
ANG	RNASE4
ANG	RNASE5
ANGPT1	AGP1
ANGPT1	AGPT
ANGPT1	ANG1
ANGPT2	AGPT2
ANGPT2	ANG2
ANK1	ANK
ANK1	SPH1
ANK1	SPH2
ANK2	ANK-2
ANK2	CFAP87
ANK2	FAP87
ANK2	LQT4
ANK2	brank-2
ANK3	ANKYRIN-G
ANK3	MRT37
ANOP1	MCOPS4
ANPEP	APN
ANPEP	CD13
ANPEP	GP150
ANPEP	LAP1
ANPEP	P150
ANPEP	PEPN
SLC25A4	AAC1
SLC25A4	ANT
SLC25A4	ANT 1
SLC25A4	ANT1
SLC25A4	MTDPS12
SLC25A4	MTDPS12A
SLC25A4	PEO2
SLC25A4	PEO3
SLC25A4	PEOA2
SLC25A4	T1
SLC25A5	2F1
SLC25A5	AAC2
SLC25A5	ANT2
SLC25A5	T2
SLC25A5	T3
SLC25A6	AAC3
SLC25A6	ANT
SLC25A6	ANT 2
SLC25A6	ANT 3
SLC25A6	ANT3
SLC25A6	ANT3Y
ANXA1	ANX1
ANXA1	LPC1
ANXA2	ANX2
ANXA2	ANX2L4
ANXA2	CAL1H
ANXA2	HEL-S-270
ANXA2	LIP2
ANXA2	LPC2
ANXA2	LPC2D
ANXA2	P36
ANXA2	PAP-IV
ANXA2P1	ANX2L1
ANXA2P1	ANX2P1
ANXA2P1	LPC2A
ANXA2P2	ANX2L2
ANXA2P2	ANX2P2
ANXA2P2	LPC2B
ANXA2P3	ANX2L3
ANXA2P3	ANX2P3
ANXA2P3	LIP2
ANXA2P3	LPC2C
ANXA3	ANX3
ANXA4	ANX4
ANXA4	HEL-S-274
ANXA4	P32.5
ANXA4	PAP-II
ANXA4	PIG28
ANXA4	PP4-X
ANXA4	ZAP36
ANXA5	ANX5
ANXA5	ENX2
ANXA5	HEL-S-7
ANXA5	PP4
ANXA5	RPRGL3
ANXA6	ANX6
ANXA6	CBP68
ANXA6	CPB-II
ANXA6	p68
ANXA6	p70
ANXA7	ANX7
ANXA7	SNX
ANXA7	SYNEXIN
ANXA11	ALS23
ANXA11	ANX11
ANXA11	CAP-50
ANXA11	CAP50
ANXA13	ANX13
ANXA13	ISA
AOAH	-
AOC2	DAO2
AOC2	RAO
AOC2	SSAO
AOX1	AO
AOX1	AOH1
APAF1	APAF-1
APAF1	CED4
NUDT2	APAH1
APOF	Apo-F
APOF	LTIP
APBA1	D9S411E
APBA1	LIN10
APBA1	MINT1
APBA1	X11
APBA1	X11A
APBA1	X11ALPHA
APBA2	D15S1518E
APBA2	HsT16821
APBA2	LIN-10
APBA2	MGC:14091
APBA2	MINT2
APBA2	X11-BETA
APBA2	X11L
APBB1	FE65
APBB1	MGC:9072
APBB1	RIR
APBB2	FE65L
APBB2	FE65L1
APC	BTPS2
APC	DESMD
APC	DP2
APC	DP2.5
APC	DP3
APC	GS
APC	PPP1R46
APCS	HEL-S-92n
APCS	PTX2
APCS	SAP
AIRE	AIRE1
AIRE	APECED
AIRE	APS1
AIRE	APSI
AIRE	PGA1
APEH	AARE
APEH	ACPH
APEH	APH
APEH	D3F15S2
APEH	D3S48E
APEH	DNF15S2
APEH	OPH
APEX1	APE
APEX1	APE1
APEX1	APEN
APEX1	APEX
APEX1	APX
APEX1	HAP1
APEX1	REF1
BIRC2	API1
BIRC2	HIAP2
BIRC2	Hiap-2
BIRC2	MIHB
BIRC2	RNF48
BIRC2	c-IAP1
BIRC2	cIAP1
BIRC3	AIP1
BIRC3	API2
BIRC3	CIAP2
BIRC3	HAIP1
BIRC3	HIAP1
BIRC3	IAP-1
BIRC3	MALT2
BIRC3	MIHC
BIRC3	RNF49
BIRC3	c-IAP2
XIAP	API3
XIAP	BIRC4
XIAP	IAP-3
XIAP	ILP1
XIAP	MIHA
XIAP	XLP2
XIAP	hIAP-3
XIAP	hIAP3
BIRC5	API4
BIRC5	EPR-1
APLP1	APLP
APLP2	APLP-2
APLP2	APPH
APLP2	APPL2
APLP2	CDEBP
APOA1	HPALP2
APOA1	apo(a)
APOA2	Apo-AII
APOA2	ApoA-II
APOA2	apoAII
APOA4	-
APOB	FCHL2
APOB	FLDB
APOB	LDLCQ4
APOB	apoB-100
APOB	apoB-48
APOBEC1	APOBEC-1
APOBEC1	BEDP
APOBEC1	CDAR1
APOBEC1	HEPR
APOC1	Apo-CI
APOC1	ApoC-I
APOC1	apo-CIB
APOC1	apoC-IB
APOC1P1	-
AQP8	AQP-8
APOC2	APO-CII
APOC2	APOC-II
APOC3	APOCIII
APOC4	APO-CIV
APOC4	APOC-IV
APOD	-
APOE	AD2
APOE	APO-E
APOE	ApoE4
APOE	LDLCQ5
APOE	LPG
APOH	B2G1
APOH	B2GP1
APOH	BG
APP	AAA
APP	ABETA
APP	ABPP
APP	AD1
APP	APPI
APP	CTFgamma
APP	CVAP
APP	PN-II
APP	PN2
APP	preA4
APRT	AMP
APRT	APRTD
KLK3	APS
KLK3	KLK2A1
KLK3	PSA
KLK3	hK3
FAS	ALPS1A
FAS	APO-1
FAS	APT1
FAS	CD95
FAS	FAS1
FAS	FASTM
FAS	TNFRSF6
FASLG	ALPS1B
FASLG	APT1LG1
FASLG	APTL
FASLG	CD178
FASLG	CD95-L
FASLG	CD95L
FASLG	FASL
FASLG	TNFSF6
FASLG	TNLG1A
SHROOM2	APXL
SHROOM2	HSAPXL
AQP1	AQP-CHIP
AQP1	CHIP28
AQP1	CO
AQP2	AQP-CD
AQP2	WCH-CD
AQP3	AQP-3
AQP3	GIL
AQP4	MIWC
AQP4	WCH4
AQP5	AQP-5
AQP5	PPKB
AQP6	AQP2L
AQP6	KID
AQP7	AQP7L
AQP7	AQPap
AQP7	GLYCQTL
AQP9	AQP-9
AQP9	HsT17287
AQP9	SSC1
AQP9	T17287
AR	AIS
AR	AR8
AR	DHTR
AR	HUMARA
AR	HYSP1
AR	KD
AR	NR3C4
AR	SBMA
AR	SMAX1
AR	TFM
ABCC6	ABC34
ABCC6	ARA
ABCC6	EST349056
ABCC6	GACI2
ABCC6	MLP1
ABCC6	MOAT-E
ABCC6	MOATE
ABCC6	MRP6
ABCC6	PXE
ABCC6	PXE1
ABCC6	URG7
ARAF	A-RAF
ARAF	ARAF1
ARAF	PKS2
ARAF	RAFA1
ARCN1	COPD
ARCN1	SRMMD
TRIM23	ARD1
TRIM23	ARFD1
TRIM23	RNF46
AREG	AR
AREG	AREGB
AREG	CRDGF
AREG	SDGF
ARF1	PVNH8
ARF3	-
ARF4	ARF2
ARL4D	ARF4L
ARL4D	ARL6
ARF4P1	ARF4P
ARF5	-
ARF6	-
ARG1	-
ARG2	-
RHOA	ARH12
RHOA	ARHA
RHOA	EDFAOB
RHOA	RHO12
RHOA	RHOH12
RHOB	ARH6
RHOB	ARHB
RHOB	MST081
RHOB	MSTP081
RHOB	RHOH6
RHOC	ARH9
RHOC	ARHC
RHOC	H9
RHOC	RHOH9
RND3	ARHE
RND3	Rho8
RND3	RhoE
RND3	memB
RHOG	ARHG
ARHGAP1	CDC42GAP
ARHGAP1	RHOGAP
ARHGAP1	RHOGAP1
ARHGAP1	p50rhoGAP
ARHGAP4	C1
ARHGAP4	RGC1
ARHGAP4	RhoGAP4
ARHGAP4	SrGAP4
ARHGAP4	p115
ARHGAP5	GFI2
ARHGAP5	RhoGAP5
ARHGAP5	p190-B
ARHGAP5	p190BRhoGAP
ARHGAP6	RHOGAP6
ARHGAP6	RHOGAPX-1
ARHGDIA	GDIA1
ARHGDIA	HEL-S-47e
ARHGDIA	NPHS8
ARHGDIA	RHOGDI
ARHGDIA	RHOGDI-1
ARHGDIB	D4
ARHGDIB	GDIA2
ARHGDIB	GDID4
ARHGDIB	LYGDI
ARHGDIB	Ly-GDI
ARHGDIB	RAP1GN1
ARHGDIB	RhoGDI2
ARHGDIG	RHOGDI-3
RHOH	ARHH
RHOH	TTF
ARL1	ARFL1
PHOX2A	ARIX
PHOX2A	CFEOM2
PHOX2A	FEOM2
PHOX2A	NCAM2
PHOX2A	PMX2A
ARL2	ARFL2
ARL3	ARFL3
ARL3	JBTS35
ARL3	RP83
ARNT	HIF-1-beta
ARNT	HIF-1beta
ARNT	HIF1-beta
ARNT	HIF1B
ARNT	HIF1BETA
ARNT	TANGO
ARNT	bHLHe2
ARNTL	BMAL1
ARNTL	BMAL1c
ARNTL	JAP3
ARNTL	MOP3
ARNTL	PASD3
ARNTL	TIC
ARNTL	bHLHe5
ARR3	ARRX
ARR3	MYP26
ARR3	cArr
ARRB1	ARB1
ARRB1	ARR1
ARRB2	ARB2
ARRB2	ARR2
ARRB2	BARR2
ARSA	ASA
ARSA	MLD
ARSB	ASB
ARSB	G4S
ARSB	MPS6
STS	ARSC
STS	ARSC1
STS	ASC
STS	ES
STS	SSDD
STS	XLI
ARSC2	ARSC
ARSD	ASD
ARSL	ARSE
ARSL	ASE
ARSL	CDPX
ARSL	CDPX1
ARSL	CDPXR
ARSF	ASF
ART1	ART2
ART1	ARTC1
ART1	CD296
ART1	RT6
ART2P	ART1P
ART2P	RT6
ART3	ARTC3
ART4	ARTC4
ART4	CD297
ART4	DO
ART4	DO/ART4
ART4	DOK1
ARVCF	-
ARVD3	ARVD2
ARVD4	-
ASAH1	AC
ASAH1	ACDase
ASAH1	ASAH
ASAH1	PHP
ASAH1	PHP32
ASAH1	SMAPME
ASCL1	ASH1
ASCL1	HASH1
ASCL1	MASH1
ASCL1	bHLHa46
ASCL2	ASH2
ASCL2	HASH2
ASCL2	MASH2
ASCL2	bHLHa45
ASD1	-
ASGR1	ASGPR
ASGR1	ASGPR1
ASGR1	CLEC4H1
ASGR1	HL-1
ASGR2	ASGP-R2
ASGR2	ASGPR2
ASGR2	CLEC4H2
ASGR2	HBXBP
ASGR2	HL-2
ASIP	AGSW
ASIP	AGTI
ASIP	AGTIL
ASIP	ASP
ASIP	SHEP9
ASL	ASAL
ASLP1	ASLL
ASMT	ASMTY
ASMT	HIOMT
ASMT	HIOMTY
GET3	ARSA-I
GET3	ARSA1
GET3	ASNA-I
GET3	ASNA1
GET3	TRC40
ASNS	ASNSD
ASNS	TS11
ASNSP2	ASNSL2
ASPA	ACY2
ASPA	ASP
ASPH	AAH
ASPH	BAH
ASPH	CASQ2BP1
ASPH	FDLAB
ASPH	HAAH
ASPH	JCTN
ASPH	junctin
ASS1	ASS
ASS1	CTLN1
ASS1P2	ASSP2
ASS1P4	ASSP4
ASS1P5	ASSP5
ASS1P6	ASSP6
ASS1P8	ASSP8
ASS1P9	ASSP9
ASS1P10	ASSP10
ASS1P14	ASSP14
ASTN1	ASTN
SERPINC1	AT3
SERPINC1	AT3D
SERPINC1	ATIII
SERPINC1	ATIII-R2
SERPINC1	ATIII-T1
SERPINC1	ATIII-T2
SERPINC1	THPH7
ZFHX3	ATBF1
ZFHX3	ATBT
ZFHX3	C16orf47
ZFHX3	ZFH-3
ZFHX3	ZNF927
ATD	ATD1
ATF1	EWS-ATF1
ATF1	FUS/ATF-1
ATF1	TREB36
ATF3	-
ATF4	CREB-2
ATF4	CREB2
ATF4	TAXREB67
ATF4	TXREB
ATF4P1	ATF4P
ATF4P1	TAXREB67P
ATF4P1	TXREBP
ATHS	ALP
ATIC	AICAR
ATIC	AICARFT
ATIC	HEL-S-70p
ATIC	IMPCHASE
ATIC	PURH
